The Witcher 3,CD PROJEKT RED,24.99,24.99,0.00,[windows],1464642000,False
"""Baldurs Gate",Beamdog,19.99,19.99,0.00,[windows,1358287200,False
Exiled Kingdoms,4 Dimension Games,5.99,7.99,2.00,[windows,1519336800,False
Crysis®,Electronic Arts,19.99,19.99,0.00,[windows],1194904800,False
Yesterday,Focus Home Interactive,2.49,9.99,7.50,[windows],1332367200,False
Vampyr - The Hunters Heirlooms DLC,Focus Home Interactive,2.00,2.99,0.99,[windows],1528059600,False
X-Morph,EXOR Studios,29.99,29.99,0.00,[windows],1504040400,False
The Elder Scrolls III,Bethesda Softworks LLC,14.99,14.99,0.00,[windows],1020027600,False
EXAPUNKS,Zachtronics,9.99,19.99,10.00,[windows,1540155600,False
As Far As The Eye,Goblinz Studio,24.99,24.99,0.00,[windows],1599685200,False
Megaquarium,Twice Circled,24.99,24.99,0.00,[windows,1536786000,False
Neverwinter Nights,Beamdog,9.99,9.99,0.00,[windows,1569272400,False
Iron Harvest Deluxe Edition,Deep Silver,69.89,69.89,0.00,[windows],1598907600,False
Galactic Civilizations II,Stardock Entertainment,19.99,19.99,0.00,[windows],1322776800,False
Icewind Dale 2 Complete,Hasbro Inc.,9.99,9.99,0.00,[windows],1034715600,False
Might and Magic® 6-pack Limited Edition,Ubisoft,9.99,9.99,0.00,[windows],893883600,False
Neverwinter Nights,Beamdog,9.99,9.99,0.00,[windows,1527800400,False
Rise of Industry,Kasedo Games,29.99,29.99,0.00,[windows,1556744400,False
Mordheim,Focus Home Interactive,6.69,9.99,3.30,[windows],1466456400,False
Mordheim,Focus Home Interactive,6.69,9.99,3.30,[windows],1477342800,False
Kingdom Come,Warhorse Studios,39.99,39.99,0.00,[windows],1519682400,False
Fallout,Bethesda Softworks LLC,9.99,9.99,0.00,[windows],875570400,False
Dungeon Siege Collection,Square Enix,19.99,19.99,0.00,[windows],1319490000,False
World in Conflict,Ubisoft,9.99,9.99,0.00,[windows],1190062800,False
The Witcher,CD PROJEKT RED,9.99,9.99,0.00,[windows],1193346000,False
Cold Waters,Killerfish Games,39.99,39.99,0.00,[windows,1496610000,False
The Next BIG Thing,Focus Home Interactive,1.99,9.99,8.00,[windows],1303333200,False
Hearthlands,Sergio & Simon,19.99,19.99,0.00,[windows,1486332000,False
Star Renegades Deluxe Edition,Raw Fury,29.69,29.69,0.00,[windows],1599512400,False
Galactic Civilizations III,Stardock Entertainment,39.99,39.99,0.00,[windows],1431550800,False
Infinifactory,Zachtronics,12.49,24.99,12.50,[windows,1435611600,False
GreedFall - Adventurer’s Gear DLC,Focus Home Interactive,2.00,2.99,0.99,[windows],1568062800,False
Dwarrows,Lithic Entertainment Inc.,23.99,29.99,6.00,[windows,1582840800,False
Destroy All Humans!,THQ Nordic GmbH,29.99,29.99,0.00,[windows],1595883600,False
Railway Empire Complete Collection,Kalypso Media Digital,39.99,39.99,0.00,[windows,1596747600,False
Les Manley Bundle,Ziggurat Interactive,9.99,9.99,0.00,[windows,None,False
Dungeons 3 Complete Collection,Kalypso Media Digital,39.99,39.99,0.00,[windows,1593118800,False
F.E.A.R. Platinum,Warner Bros. Interactive Entertainment,9.99,9.99,0.00,[windows],1129496400,False
Paradise Killer,Fellow Traveller,19.99,19.99,0.00,[windows],1599166800,False
Runaway,Focus Home Interactive,1.99,9.99,8.00,[windows],1061240400,False
Runaway 3,Focus Home Interactive,1.99,9.99,8.00,[windows],1303333200,False
Thea 2,MuHa Games,24.99,24.99,0.00,[windows],1557694800,False
Empires,Stainless Steel Studios,9.99,9.99,0.00,[windows],1066683600,False
"""Dragons Dogma",Capcom,29.99,29.99,0.00,[windows],1452722400,False
The Surge,Focus Home Interactive,4.99,19.99,15.00,[windows],1494882000,False
Grim Dawn,Crate Entertainment,24.99,24.99,0.00,[windows],1456351200,False
Children of the Nile Complete,Tilted Mill Entertainment,9.99,9.99,0.00,[windows],1220994000,False
True Fear,Digital Lounge ,4.99,9.99,5.00,[windows,1541109600,False
Seasons after Fall,Focus Home Interactive,2.49,9.99,7.50,[windows],1472763600,False
Divinity,Larian Studios,59.99,59.99,0.00,[windows,1505336400,False
Egypt,Clarus Victoria,14.99,14.99,0.00,[windows,1527109200,False
Lethis - Path of Progress,Triskell Interactive,19.99,19.99,0.00,[windows],1435179600,False
Spacechem,Zachtronics,2.49,9.99,7.50,[windows,1293919200,False
Icewind Dale,Beamdog,19.99,19.99,0.00,[windows,1414620000,False
Terraria,Re-Logic,9.99,9.99,0.00,[windows,1305493200,False
Masters of Anima,Focus Home Interactive,2.99,9.99,7.00,[windows],1523307600,False
Runaway 2,Focus Home Interactive,1.99,9.99,8.00,[windows],1163714400,False
Desperados III Digital Deluxe Edition,THQ Nordic GmbH,59.99,59.99,0.00,[windows],1592254800,False
Democracy 3,Positech Games,24.99,24.99,0.00,[windows,1381698000,False
